NAME,MAIN_STREET,FIRST_STREET,LATITUDE,LONGITUDE,COMMUNE,DAY,START_TIME,END_TIME
PABLO NERUDA,PABLO NERUDA,JACARANDA,-33.35861989551015,-70.63148197520394,HUECHURABA,MIERCOLES,8:00,14:15
CHACAREROS DE LA REINA,FRANCISCO BILBAO,FLORENCIO BARRIOS,-33.430155088979944,-70.55156631777514,LA REINA,SABADO,9:30,15:00
CHAITEN,CHAITEN,ROJAS MAGALLANES,-33.53539610745067,-70.599574387432,LA FLORIDA,JUEVES,8:30,16:30
MANUEL RODRIGUEZ,JOSE MIGUEL CARRERA,VICUNA MACKENNA,-33.550022627528584,-70.58731903170292,LA FLORIDA,DOMINGO,9:00,14:00
GUAYAQUIL,OHIGGINS,AV DE LA VICTORIA,-33.5022516066495,-70.768672974034,MAIPU,VIERNES,8:00,14:30
LIBRE ARRIETA,ARRIETA,TOBALABA,-33.462520473825776,-70.5517191605407,PENALOLEN,JUEVES,8:00,14:30
LIBRE GRECIA,GRECIA,ICTINOS,-33.47161268879907,-70.56284364519988,PENALOLEN,SABADO,9:00,15:00
LICANRAY3,AV MEXICO,LOS TOROS,-33.56713165111264,-70.56672687544312,PUENTE ALTO,JUEVES,8:00,14:30
LICANRAY6,AV LAS NIEVES ORIENTE,AV EL PENON,-33.57947281288603,-70.55872410242742,PUENTE ALTO,DOMINGO,8:30,15:45
CARMEN MENA,MIGUEL LUIS CERDA,VARAS MENA,-33.510179269503475,-70.64991738893706,SAN MIGUEL,MARTES,9:00,16:15
TRANSITO,TRANSITO,NEPTUNO,-33.43270418440676,-70.7199493312674,QUINTA NORMAL,VIERNES,9:30,16:00
PEDRO LAGOS,PEDRO LAGOS,LIRA,-33.46382442270813,-70.634373615923,SANTIAGO,MIERCOLES,8:15,14:15
DIEZ DE JULIO,DIEZ DE JULIO,VICUNA MACKENNA,-33.45179149730615,-70.63092820243104,SANTIAGO,DOMINGO,9:00,16:00
